"clm","cmclid","tm","ldab","writingsupport","bookform","chronofrom","chronoto","fullname","shelfmark","pp"
"47","GIOV.AC","108414","108414","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.03.60","(155-156)"
"47","GIOV.AC","108414","108414","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.03.61-62","(157-158)"
"47","GIOV.AC","108414","108414","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.03.63-72","(159-xxx)"
"47","GIOV.AC","108414","108414","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.03.73","(153-154%)"
"48","GIOV.AD","108415","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.04",""
"49","GIOV.AE","108416","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.05",""
"50","GIOV.AF","108362","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.06",""
"51","GIOV.AG","108417","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.07A",""
"52","GIOV.AH","108418","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.07B",""
"53","GIOV.AI","108419","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.08",""
"54","GIOV.AJ","108363","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.09.01-06","(011-022)"
"54","GIOV.AJ","108363","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.09.07-14","(023post)"
"54","GIOV.AJ","108363","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.09.15-33","(041-078)"
"54","GIOV.AJ","108363","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.09.34-36","(087post)"
"54","GIOV.AJ","108363","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.09.37-40","(079-086)"
"54","GIOV.AJ","108363","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.09.41-42",""
"55","GIOV.AK","108366","null","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.10",""
"56","GIOV.AL","108420","108420","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.11",""
"57","GIOV.AM","108393","108393","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.12",""
"58","GIOV.AN","108421","108421","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.13",""
"61","GIOV.AQ","108423","108423","papyrus","codex","651","750","Italy, Torino, Museo Egizio","63000.16",""
