"clm","cmclid","tm","ldab","writingsupport","bookform","chronofrom","chronoto","fullname","shelfmark","pp"
"787","null","108053","108053","parchment","codex","501","600","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","8650","null"
"819","null","108311","108311","papyrus","codex","501","800","United Kingdom, London, BL, Or.","7561 (49)-(51)","null"
"820","null","108059","108059","papyrus","codex","601","800","United Kingdom, London, BL, Or.","7561 (58)(59)","null"
"821","null","108061","108061","papyrus","codex","601","800","United Kingdom, London, BL, Or.","7561 (70)","null"
"821","null","108061","108061","papyrus","codex","601","800","United Kingdom, London, BL, Or.","7561 (71)","null"
"821","null","108061","108061","papyrus","codex","601","800","United Kingdom, London, BL, Or.","07561 (72)","null"
"821","null","108061","108061","papyrus","codex","601","800","United Kingdom, London, BL, Or.","7561 (77)(78)","null"
"821","null","108061","108061","papyrus","codex","601","800","United Kingdom, London, BL, Or.","7561 (79)","null"
"821","null","108061","108061","papyrus","codex","601","800","United Kingdom, London, BL, Or.","7561 (100)-(102)","null"
"823","null","108062","108062","papyrus","codex","601","800","United Kingdom, London, BL, Or.","7561 (80)","null"
"823","null","108062","108062","papyrus","codex","601","800","United Kingdom, London, BL, Or.","7561 (118)","null"
"826","null","108063","108063","papyrus","codex","601","800","United Kingdom, London, BL, Or.","7561 (107)","null"
"826","null","108063","108063","papyrus","codex","601","800","United Kingdom, London, BL, Or.","7561 (109)(110)","null"
"830","null","108060","108060","papyrus","codex","651","800","United Kingdom, London, BL, Or.","7561 (60)","null"
"830","null","108060","108060","papyrus","codex","651","800","United Kingdom, London, BL, Or.","7561 (61)(62)","null"
"830","null","108060","108060","papyrus","codex","651","800","United Kingdom, London, BL, Or.","7561 (67)-(69)","null"
"830","null","108060","108060","papyrus","codex","651","800","United Kingdom, London, BL, Or.","7561 (96)(97)","null"
"839","null","107983","107983","parchment","codex","451","500","United Kingdom, London, BL, Or.","9035 (45)(46)(49)","null"
"841","null","107982","107982","papyrus","horizontal roll","401","500","United Kingdom, London, BL, Or.","9271","null"
"858","null","61982","3141","papyrus","horizontal roll","175","250","United Kingdom, London, BM, EA","10825","null"
"868","null","107970","107970","parchment","codex","301","400","United Kingdom, Manchester, University of  Manchester Library - John Rylands Library, Suppl.Copt.","44","null"
"869","null","108317","108317","papyrus","horizontal roll","596","596","United Kingdom, Manchester, University of  Manchester Library - John Rylands Library, Suppl.Copt.","47-48","null"
"870","null","697442","697442","parchment","codex","501","600","Spain, Monsterrat, Abbey of Montserrat, Roca","inv. 735","null"
"873","null","108158","108158","papyrus","codex","701","800","Russian Federation, Moscow, Puškin Museum ","I.1.B 629","1-4"
"881","null","108053","108053","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 1","null"
"882","null","108592","108592","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 10","1-4"
"903","null","108587","108587","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 3","null"
"905","null","108588","108588","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 4","1"
"905","null","108588","108588","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 4","2"
"906","null","108589","108589","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 5","null"
"907","null","108590","108590","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 6","null"
"908","null","108560","108560","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 7","null"
"909","null","108591","108591","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 8","null"
"910","null","108401","108401","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 9.1","(001-002)?"
"910","null","108401","108401","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 9.5","(015-016)"
"910","null","108401","108401","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 9.6","(017-018)"
"910","null","108401","108401","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 9.7","(019-020)"
"910","null","108401","108401","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 9.2-4","null"
"910","null","108401","108401","papyrus","codex","651","750","U.S.A., New York (NY), The Morgan Library and Museum","C 9.8-13","null"
"922","null","112555","112555","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.114","null"
"923","null","112574","112574","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.232","null"
"924","null","112422","112422","papyrus","codex","501","550","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.268","null"
"925","null","112573","112573","papyrus","codex","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.269","null"
"926","null","112570","112570","stone","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.58","null"
"927","null","112556","112556","stone","ostrakon","508","650","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.62","null"
"928","null","112563","112563","stone","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.63","null"
"929","null","112576","112576","stone","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.64","null"
"930","null","112572","112572","stone","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.76","null"
"931","null","112419","112419","stone","ostrakon","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.119","null"
"932","null","108512","108512","parchment","codex","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.480","null"
"933","null","62215","3375","papyrus","codex","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.481","null"
"934","null","108528","108528","papyrus","codex","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.482","null"
"936","null","112550","112550","stone","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.64","null"
"937","null","112579","112579","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.84","null"
"938","null","112418","112418","stone","ostrakon","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.86r","null"
"939","null","61839","2993","papyrus","codex","301","400","Norway, Oslo, Universitetsbiblioteket","P. 1661","null"
"982","null","107828","107828","parchment","codex","301","425","United Kingdom, Oxford, Bodleian Library, Copt.","f 7","null"
"992","null","61276","2418","wood","polyptych","276","300","United Kingdom, Oxford, Bodleian Library, Chester","Gk. Inscr. 3019","null"
"997","null","700769","700769","papyrus","codex","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box. 21, P. 10 (vitre 6)","null"
"998","null","700767","700767","papyrus","codex","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box. 21, P. 11 (vitre 13)","null"
"999","null","700765","700765","papyrus","codex","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box. 21, P. 15 (vitre 13)","null"
"1000","null","700768","700768","papyrus","codex","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box. 21, P.18 (vitre 21)","null"
"1003","null","107890","107890","papyrus","codex","301","400","France, Paris, BnF, Copte","135.3.26-32","null"
"1004","null","107963","107963","papyrus","horizontal roll","301","400","France, Paris, BnF, Copte","135.1.8-10","null"
"1005","null","107966","107966","papyrus","codex","301","400","France, Paris, BnF, Copte","135.1.1-2","null"
"1005","null","107966","107966","papyrus","codex","301","400","France, Paris, BnF, Copte","135.1.3-4","null"
"1005","null","107966","107966","papyrus","codex","301","400","France, Paris, BnF, Copte","135.1.5-6","null"
"1006","null","108610","108610","papyrus","codex","301","400","France, Paris, BnF, Copte","135.1.7","null"
"1007","null","107882","107882","papyrus","codex","301","400","France, Paris, BnF, Copte","135.1.11","null"
"1008","null","108360","108360","papyrus","codex","501","600","France, Paris, BnF, Copte","155","null"
"1009","null","108188","108188","parchment","codex","401","500","France, Paris, BnF, Copte","157","null"
"1009","null","108188","108188","parchment","codex","401","500","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","11000","null"
"1011","null","108436","108436","papyrus","codex","501","600","France, Paris, Institut de Papyrologie de la Sorbonne","2632","null"
"1020","null","61656","2806","papyrus","codex","451","500","France, Strasbourg, Bibliothèque Nationale et Universitaire, Copte","362-363 + 365 + 367-369 + 371-385","null"
"1022","null","108402","108402","papyrus","codex","375","425","Ireland, Dublin, Chester Beatty Library","2018","null"
"1028","null","107972","107972","papyrus","horizontal roll","413","500","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","10157","null"
"1056","null","113547","113547","papyrus","codex","501","700","U.S.A., Washington, Smithsonian Institute, Freer","08.45g4","null"
"1120","null","219761","null","terracotta","ostrakon","701","750","Egypt, Luxor, SCA storehouse (Carter house)","292472 + 292477","null"
"1121","null","172223","172223","stone","ostrakon","501","900","West Thebes Supreme Council of Antiquities Storehouse","Inv. No. 07/1D/06","null"
"1122","null","641969","641696","papyrus","codex","501","900","West Thebes Supreme Council of Antiquities Storehouse","03/ID/06","null"
"1125","null","107731","107731","parchment","codex","375","450","Egypt, Cairo, Coptic Museum","12488","null"
"1126","null","108027","108027","parchment","codex","401","550","Egypt, Cairo, Coptic Museum","851.1","null"
"1127","null","108688","108688","parchment","codex","401","600","Egypt, Cairo, Coptic Museum","862.1","null"
"1130","null","112551","112551","terracotta","ostrakon","578","700","Egypt, Cairo, Coptic Museum, JdE","44674.101","null"
"1131","GIOV.AS","107915","107915","parchment","codex","401","600","Italy, Torino, Museo Egizio","Provv. 7117","ff. (i) + 1-115"
"1132","null","108562","108562","parchment","codex","501","600","Italy, Torino, Museo Egizio","Provv. 7117","f. 116"
"1133","null","108563","108563","parchment","codex","401","600","Italy, Torino, Museo Egizio","Provv. 7117","frr. 1-3"
"1134","null","112560","112560","stone","ostrakon","501","700","Egypt, Cairo, Coptic Museum, JdE","44674.107","null"
"1135","null","112553","112553","stone","ostrakon","578","700","Egypt, Cairo, Coptic Museum, JdE","44674.116","null"
"1136","null","112554","112554","stone","ostrakon","501","700","Egypt, Cairo, Coptic Museum, JdE","44674.125","null"
"1137","null","112552","112552","terracotta","ostrakon","578","700","Egypt, Cairo, Coptic Museum, JdE","44674.127","null"
"1138","null","112557","112557","terracotta","ostrakon","550","650","Egypt, Cairo, Coptic Museum, JdE","44674.15","null"
"1139","null","112568","112568","stone","ostrakon","501","700","Egypt, Cairo, Coptic Museum, JdE","44674.178","null"
"1140","null","112562","112562","terracotta","ostrakon","501","700","Egypt, Cairo, Coptic Museum, JdE","44674.191","null"
"1141","null","112542","112542","terracotta","ostrakon","501","700","Egypt, Cairo, Coptic Museum, JdE","44674.33v","null"
"1142","null","112549","112549","terracotta","ostrakon","501","700","Egypt, Cairo, Coptic Museum, JdE","44674.46","null"
"1143","null","112558","112558","terracotta","ostrakon","501","700","Egypt, Cairo, Coptic Museum, JdE","44674.54 + 46304.15","null"
"1144","null","112559","112559","stone","ostrakon","501","700","Egypt, Cairo, Coptic Museum, JdE","44674.92","null"
"1145","null","112571","112571","terracotta","ostrakon","501","700","Egypt, Cairo, Coptic Museum, JdE","46304.35","null"
"1146","null","112577","112577","terracotta","ostrakon","501","700","Egypt, Cairo, Coptic Museum, JdE","46304.58","null"
"1147","null","112566","112566","terracotta","ostrakon","501","700","Egypt, Cairo, Coptic Museum, JdE","46304.63","null"
"1148","null","112421","112421","terracotta","ostrakon","501","700","Egypt, Cairo, Coptic Museum, JdE","46304.67","null"
"1153","null","65174","6416","papyrus","codex","601","650","Egypt, Cairo, Coptic Museum, JdE","44689","null"
"1157","null","107888","107888","papyrus","horizontal roll","301","400","Egypt, Cairo, IFAO, Grec","379v","null"
"1157","null","107888","107888","papyrus","horizontal roll","301","400","The Netherlands, Leiden, Rijksmuseum van Oudheden","F1949","null"
"1158","null","382619","382619","parchment","codex","401","600","U.S.A., Cambridge (MA), Harvard University - Sackler Art Museum","1984.669","null"
"1160","null","108078","108078","papyrus","codex","501","600","Ireland, Dublin, Chester Beatty Library","54","null"
"1166","null","61817","2971","parchment","codex","401","600","Ireland, Dublin, Trinity College","Pap. F 138","null"
"1170","null","290110","290110","papyrus","single leaf","401","600","Italy, Firenze, Istituto Papirologico 'G. Vitelli'","C 55","null"
"1178","null","107965","107965","papyrus","codex","301","400","Belgium, Leuven, Katholieke Universiteit Leuven, Lefort","1-3 a, b, c",""
"1178","null","107965","107965","papyrus","codex","301","400","Belgium, Louvain-la-Neuve, Archives, Fonds Lefort","1-5","null"
"1185","null","754108","754108","parchment","codex","501","600","Egypt, al-Šayḫ ʽIbādah, Storehouse of the Italian Archaeological Mission","PSI inv. Ant. 349","null"
"1186","null","113254","113254","parchment","codex","401","500","Egypt, al-Šayḫ ʽIbādah, Storehouse of the Italian Archaeological Mission","P.Ant. inv. 1017","null"
"1187","null","113253","113253","parchment","codex","401","500","Egypt, al-Šayḫ ʽIbādah, Storehouse of the Italian Archaeological Mission","18.10.2005 E I","null"
"1188","null","113257","113257","parchment","codex","451","500","Egypt, al-Šayḫ ʽIbādah, Storehouse of the Italian Archaeological Mission","26.01.2006 C4 III","null"
"1189","null","113252","113252","parchment","codex","401","500","Egypt, al-Ašmūnayn, Storehouse","inv. 345","null"
"1191","null","113256","113256","papyrus","codex","601","800","Egypt, al-Ašmūnayn, Storehouse","P.Ant. inv. 666","null"
"1207","null","112578","112578","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.42","null"
"1219","null","107733","107733","papyrus","codex","301","350","Norway, Oslo, The Schøyen Collection","MS 2650","null"
"1220","null","null","null","papyrus","codex","601","800","Egypt, Cairo, Coptic Museum","no number","null"
"1221","null","null","null","parchment","codex","401","450","Norway, Oslo, The Schøyen Collection","MS 114","null"
"1222","null","107772","107772","parchment","codex","401","600","Norway, Oslo, The Schøyen Collection","MS 1365","null"
"1223","null","null","null","papyrus","codex","301","400","Norway, Oslo, The Schøyen Collection","MS 2337","null"
"1235","","108314","108314","stone","ostrakon","601","700","Germany, Berlin, Staatliche Museen, P.","14700","null"
"1371","null","107763","107763","papyrus","codex","301","400","United Kingdom, London, BL, Or.","7594","null"
"1417","null","108694","108694","parchment","codex","601","800","U.S.A., New York (NY), The Morgan Library and Museum","M660","ff. (i) + 1-6 + 6A + 7-14 + 14A + 15-20 + 20A + 21-25 + 25A + 26-27 + 27A + 28-29 + 29A + 30-35 + (36)"
"1417","null","108694","108694","parchment","codex","601","800","U.S.A., Ann Arbor (MI), University of Michigan Library, Ms.","158.9","ff. 1-3"
"1579","null","108499","108499","terracotta","ostrakon","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.161","null"
"1580","null","108513","108513","terracotta","ostrakon","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.124","null"
"1582","null","112546","112546","papyrus","codex","601","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.266","null"
"1583","null","108514","108514","terracotta","ostrakon","601","800","Egypt, Cairo, Coptic Museum"," JdE 44674.135 Ro","null"
"1584","null","108515","108515","stone","ostrakon","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.71","null"
"1585","null","108516","108516","terracotta","ostrakon","601","800","Egypt, Cairo, Coptic Museum"," JdE 44674.174","null"
"1586","null","108517","108517","terracotta","ostrakon","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.103","null"
"1587","null","108518","108518","terracotta","ostrakon","576","800","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.81","null"
"1588","null","108519","108519","terracotta","ostrakon","601","800","Egypt, Cairo, Coptic Museum"," JdE 44674.2","null"
"1589","null","108520","108520","terracotta","ostrakon","601","700","Egypt, Cairo, Coptic Museum","JdE 46304.21 Vo","null"
"1590","null","108521","108521","stone","ostrakon","601","700","Egypt, Cairo, Coptic Museum","JdE 46304.29","null"
"1591","null","108522","108522","stone","ostrakon","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.88","null"
"1592","null","108523","108523","terracotta","ostrakon","601","800","Egypt, Cairo, Coptic Museum"," JdE 46304.47","null"
"1593","null","108524","108524","terracotta","ostrakon","601","800","Egypt, Cairo, Coptic Museum"," JdE 46304.40","null"
"1594","null","108526","108526","terracotta","ostrakon","601","800","Egypt, Cairo, Coptic Museum"," JdE 46304.42","null"
"1595","null","108527","108527","terracotta","ostrakon","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.211","null"
"1596","null","108529","108529","terracotta","ostrakon","601","800","Egypt, Cairo, Coptic Museum"," JdE 44674.118","null"
"1597","null","112417","112417","terracotta","ostrakon","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.96","null"
"1598","null","112531","112531","terracotta","ostrakon","401","600","Egypt, Cairo, Coptic Museum"," JdE 44674.70","null"
"1599","null","112533","112533","stone","ostrakon","601","800","Egypt, Cairo, Coptic Museum"," JdE 44674.112","null"
"1600","null","112534","112534","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.194","null"
"1601","null","112535","112535","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.216","null"
"1602","null","112537","112537","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.122","null"
"1603","null","112536","112536","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.122 + Cairo JdE 44674.3","null"
"1604","null","112538","112538","stone","ostrakon","501","700","Egypt, Cairo, Coptic Museum","JdE 44674.131","null"
"1611","null","112539","12539","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.141","null"
"1612","null","112540","112540","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.83","null"
"1613","null","112541","112541","terracotta","ostrakon","501","700","Egypt, Cairo, Coptic Museum","JdE 44674.33 Ro","null"
"1614","null","112543","112543","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.214","null"
"1615","null","112544","112544","terracotta","ostrakon","501","700","Egypt, Cairo, Coptic Museum","JdE 46304 . 103","null"
"1616","null","112545","null","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.24","null"
"1618","null","112564","112564","stone","ostrakon","501","700","Egypt, Cairo, Coptic Museum","JdE 44674.175","null"
"1619","null","112567","112567","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.182","null"
"1620","null","112569","112569","terracotta","ostrakon","501","700","Egypt, Cairo, Coptic Museum","JdE 44674.34","null"
"1621","null","112707","112707","terracotta","ostrakon","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.93","null"
"1622","null","108849","108849","terracotta","ostrakon","601","900","U.S.A., New York (NY), The Metropolitan Museum of Art","12.180.104","null"
"1623","null","108525","108525","terracotta","ostrakon","601","800","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.129","null"
"1629","null","107795","107795","papyrus","codex","301","425","Italy, Milano, Centro Interdipartimentale di Papirologia Achille Vogliano","P.Mil.Vogl. Copti 1","null"
"1700","null","112657","112657","parchment","single leaf","501","700","United Kingdom, London, BL, Or.","4919.2","null"
"1701","null","111688","111688","parchment","single leaf","401","900","United Kingdom, London, BL, Or.","4919.3","null"
"1702","null","91442","null","parchment","single leaf","301","500","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","78","null"
"1704","null","91418","91418","parchment","single leaf","401","500","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","8636","null"
"1747","null","107875","107875","papyrus","codex","301","400","U.S.A., Ann Arbor (MI), University of Michigan Library, P.","926","null"
"1784","null","107777","107777","parchment","vertical roll","401","600","Germany, Cologne, Papyrussammlung der Universität zu Köln","03286","null"
"1785","null","101251","101251","parchment","vertical roll","476","600","Germany, Cologne, Papyrussammlung der Universität zu Köln","03287","null"
"1869","null","108130","108130","parchment","vertical roll","501","600","Ireland, Dublin, Chester Beatty Library, Ac","1486","null"
"2207","null","107979","107979","papyrus","codex","301","500","U.S.A., Ann Arbor (MI), University of Michigan Library, P.","3520","null"
"2249","null","107948","107948","parchment","codex","501","600","United Kingdom, London, BL, Or.","6695","ff. (i) + 1-52 + (53)"
"2249","null","107948","107948","parchment","codex","501","600","United Kingdom, London, BL, Or.","4917.5","ff. 1-3"
"2310","null","107779","107779","papyrus","codex","301","400","U.S.A., Ann Arbor (MI), University of Michigan Library, P.","5421","null"
"2321","null","108259","108259","parchment","codex","501","600","Germany, Berlin, Staatliche Museen, P.","11949.1-2","null"
"2321","null","108259","108259","parchment","codex","501","600","Germany, Berlin, Staatliche Museen, P.","15937","null"
"2401","null","108437","108437","parchment","codex","501","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","2583","null"
"2401","null","108437","108437","parchment","codex","501","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","3275","null"
"2401","null","108437","108437","parchment","codex","501","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","3274","null"
"2401","null","108437","108437","parchment","codex","501","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","2862","null"
"2401","null","108437","108437","parchment","codex","501","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","2865","null"
"2651","null","62320","3483","papyrus","codex","551","600","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","8706","null"
"2672","null","107894","107894","parchment","codex","501","700","United Kingdom, Manchester, University of  Manchester Library - John Rylands Library, Copt.","7.1-2","null"
"2695","null","65434","6681","parchment","single leaf","701","900","United Kingdom, London, BL, Or.","5297(4)","null"
"2853","null","244013","244013","papyrus","codex","401","500","United Kingdom, Cambridge, University Library, Michael.","1112","null"
"2882","null","108214","108214","papyrus","codex","401","700","Germany, Berlin, Staatliche Museen, P.","7818","null"
"2883","null","63050","4246","papyrus","codex","501","600","France, Paris, BnF, Copte","156","null"
"3355","null","100023","100023","papyrus","codex","501","700","The Netherlands, Leiden, Rijksmuseum van Oudheden","134","null"
"3470","null","108498","108498","papyrus","codex","601","800","Egypt, Cairo, Coptic Museum","4330/90","null"
"3472","null","700766","700766","papyrus","codex","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box 21, P. 5 (Vitre 16)","null"
"3473","null","700744","700744","terracotta","ostrakon","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box 21, n. 94","null"
"3474","null","700745","700745","terracotta","ostrakon","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box 21, n. 130","null"
"3475","null","700746","700746","terracotta","ostrakon","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box 21, n. 56","null"
"3476","null","700747","700747","terracotta","ostrakon","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box 21, n. 199","null"
"3477","null","700748","700748","terracotta","ostrakon","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box 21, n. 301","null"
"3478","null","700749","700749","terracotta","ostrakon","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box 21, n. 35","null"
"3479","null","700750","700750","terracotta","ostrakon","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box 21, n. 109","null"
"3480","null","700751","700751","terracotta","ostrakon","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box 21, n. 1119","null"
"3481","null","700752","700752","terracotta","ostrakon","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box 21, n. 84","null"
"3482","null","700753","700753","terracotta","ostrakon","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box 21, n. 112","null"
"3483","null","700754","700754","terracotta","ostrakon","601","750","Egypt, Luxor, SCA storehouse (Carter house)","Box 21, n. 893","null"
"3485","null","111237","111327","terracotta","ostrakon","601","800","U.S.A., Chicago, The Haskell Oriental Museum of the University of Chicago","MH 3636","null"
"3486","null","111701","111701","stone","ostrakon","601","800","United Kingdom, London, BM, EA","EA33129","null"
"3487","null","111813","111813","stone","ostrakon","601","800","United Kingdom, London, BM, EA","EA33127","null"
"3490","null","111238","111238","terracotta","ostrakon","601","800","U.S.A., Chicago, The Haskell Oriental Museum of the University of Chicago","MH 2734","null"
"3491","null","112565","null","terracotta","ostrakon","501","800","Egypt, Cairo, Coptic Museum","JdE 44674.7","null"
"3492","null","112532","112532","terracotta","ostrakon","501","700","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.49","null"
"3495","null","62143","3303","stone","ostrakon","601","800","United Kingdom, London, BM, EA","EA32884","null"
"3496","null","82910","82910","stone","ostrakon","590","786","United Kingdom, London, BM, EA","EA32986","null"
"3497","null","107930","107930","papyrus","codex","551","700","United Kingdom, London, BL, P.","48 (fol. 18-25)","null"
"3498","null","108324","108324","papyrus","codex","551","700","United Kingdom, London, BM, EA","EA 71005","null"
"3499","null","171917","171917","stone","ostrakon","501","800","Germany, Berlin, Staatliche Museen, P.","876","null"
"3500","null","171916","171916","terracotta","ostrakon","501","800","Germany, Berlin, Staatliche Museen, P.","647","null"
"3501","null","111812","111812","terracotta","ostrakon","401","800","United Kingdom, London, BM, EA","EA14061","null"
"3502","null","109213","109213","terracotta","ostrakon","501","700","U.S.A., New York (NY), Columbia University Library","O. 1366 = New York, Columbia University Acc. 65.3.78","null"
"3503","null","108183","108183","terracotta","ostrakon","501","700","Leipzig,  Ägyptisches Museum","1652","null"
"3506","null","108567","108567","papyrus","codex","551","600","United Kingdom, London, BL, P.","48 ","1-17"
"3509","null","66750","4248","stone","ostrakon","601","900","Egypt, Cairo, Coptic Museum","number unknown","null"
"3515","null","62207","3367","terracotta","ostrakon","601","700","U.S.A., Chicago, The Haskell Oriental Museum of the University of Chicago","MH 1175","null"
"3515","null","62207","3367","terracotta","ostrakon","601","700","U.S.A., Chicago, The Haskell Oriental Museum of the University of Chicago","MH 935","null"
"3515","null","62207","3367","terracotta","ostrakon","601","700","United Kingdom, London, University College, Petrie Museum","UC 62851","null"
"3516","null","82588","82588","stone","ostrakon","601","800","United Kingdom, London, BM, EA","EA 33135","null"
"3518","null","82597","82597","stone","ostrakon","601","800","United Kingdom, London, BM, EA","EA33140","null"
"3519","null","82907","82907","stone","ostrakon","590","786","United Kingdom, London, BM, EA","EA50213","null"
"3523","null","87109","87109","stone","ostrakon","601","700","U.S.A., New York (NY), The Metropolitan Museum of Art","14.1.138","null"
"3524","null","88185","88185","stone","ostrakon","601","800","Egypt, Cairo, IFAO, Copte","2002 = Cairo, IFAO no. séquestre 13322","null"
"3588","null","108266","108266","parchment","codex","401","500","Germany, Berlin, Staatliche Museen, P.","10585.A-B","null"
"3847","null","null","null","parchment","codex","551","600","United Kingdom, London, BL, Or.","4918.1.1-4","null"
"3956","DISH.AJ","107904; 107905; 107760","107904; 107905; 107760","parchment","codex","451","500","Spain, Barcelona, Arxiu Històric de la Companya de Jesús a Catalunya, Palau Ribes","P. Palau Ribes 181-183","null"
"4273","null","null","null","papyrus","codex","601","700","Switzerland, Cologny-Genève, Fondation Martin Bodmer","58.A","(007-008)"
"4273","null","null","null","papyrus","codex","601","700","Switzerland, Cologny-Genève, Fondation Martin Bodmer","58.C","(001-006)"
"4275","null","null","null","papyrus","codex","501","700","Switzerland, Cologny-Genève, Fondation Martin Bodmer","58.D","(003-006)"
"4300","null","108077","108077","parchment","codex","401","600","Germany, Heidelberg, Papyrussammlung der Universität Heidelberg, Kopt.","452","null"
"4310","null","null","null","parchment","codex","601","800","Italy, Napoli , Biblioteca Nazionale Vittorio Emanuele III, IB","13.47-50","pp. 1-8"
"4310","null","null","null","parchment","codex","601","800","France, Paris, BnF, Copte","129.3.188-189","pp. 115-118"
"4310","null","null","null","parchment","codex","601","800","United Kingdom, London, BL, Or.","6954.88-90","null"
