"Monastery site and location","Latitude N","Longitude E","DD- N","DD- E"
"Deir Abu Jirj - Kawmal Hanash Alexandria","30° 53' 59.9","29° 56' 59.90","30.899.972","29.949.972"
"Deir Mar Jirjis Fayoum","29° 8' 51.00","30° 53' 44.99","291.475","308.958.333"
"Deir Mari Jirjis - (Girgis) (St George) Luxor","25° 33' 59.99","32° 25' 59.99","255.666.667","324.333.333"
"Deir Mari Jirjis ","26° 13' 59.99","31° 52' 00.00","262.333.333","318.666.667"
"Deir Mari Jirjis","29° 55' 59.99","31° 16' 59.99","299.333.333","312.833.333"
"Abu Lifa - Abu Banukh Fayum - Gabal Qatrani - Qasr al-sagha","29° 37' 01.14","30° 41' 45.59","29.616.983","30.695.997"
"Abu Lif  St Andrew Naqada-Qamula  Near Hagar Danfiq","25° 50' 53.27","32° 42' 18.14","25.848.131","32.705.039"
"Deir al Madina (Medina) monastery of the town Luxor west bank","25° 43' 44.57","32° 36' 07.50","25.729.047","32.602.083"
"Deir el Magma - Danfiq - Luxor","25° 49' 59.99","32° 42' 00.00","258.333.333","32.7"
"Deir Mari Mina - al Agaybi St Menas Nag Hammadi S of Hiw","26° 00' 16.30","32° 16' 26.03","26.004.528","32.273.897"
"Deir Mar Mina al Aja'ibi  Minya","27° 55' 59.99","30° 49' 00.00","279.333.333","308.166.667"
"Deir al Majima - Danfiq - Naqada","25° 49' 59.99","32° 42' 00.00","258.333.333","32.7"
"Deir Makaryus - Anba Maqar Wadi Natrun southerly monastery","30° 17' 28.61","30° 28' 31.12","30.291.281","30.475.311"
"El Mala - Ashmunein Asyut","27° 45' 59.99","30° 52' 00.00","277.666.667","308.666.667"
"Deir al Malak - Ad Dabbah - Naghammadi","26° 04' 00.00","32° 19' 00.00","260.666.667","323.166.667"
"Deir al-Malak St Michael Salamuni Sohag","26° 36' 54.52","31° 46' 18.96","26.615.144","31.771.933"
"El Malak -  St Michael  -monastery of the well Naqada","25° 52' 56.22","32° 41' 46.42","25.882.283","32.696.228"
"El Malak - Luxor-Naqada Monastery of the Angel Qasr al-sayyed","26° 03' 56.70","32° 17' 53.23","2.606.575","32.298.119"
"Deir al Malal - Ashmunein - Wadi Abada","27° 45' 59.99","30° 52' 00.00","277.666.667","308.666.667"
"Deir Marmina - Musa Alexandria (Burg al-Arab ) el-Gadida","30° 51' 07.05","29° 39' 54.43","30.851.958","29.665.119"
"Abu matta Daklah oasis - deir al saba banat","25° 36' 22.94","28° 54' 22.82","25.606.372","28.906.339"
"Deir al Adhra Maryam - Aysut","26° 55' 38.41","31° 16' 59.18","25.927.222","31.283.056"
"Deir al Anba maqqar - Bir Hooker - Sadat city","30° 18' 1.99","30° 28' 40.00","303.005.556","304.777.778"
"Al Muharraq Holy Virgin Al-Qusiya Qusqam","27° 23' 06.36 ","30° 46' 46.10 ","273.851","30.779.472"
"El Maharraq - Al Minshat sughra","27° 22' 49.99","30° 46' 30.00","273.805.556","30.775"
"Deir al Maymum - Maimum - Beni Musa Lahun Fyoum","29° 12' 59.99","31° 13' 00.00","292.166.667","312.166.667"
"Metanoia - monastery of Penitence Canobus Alexandria","31° 18' 56.30","30° 03' 06.67","31.315.639","30.051.853"
"El Metmar - Rayayna - Luxor","25° 37' 59.99","32° 26' 59.00","256.333.333","32.45"
"Al Misaykra - al Namus NW Armant","25° 39' 42.00","32° 26' 49.00 ","25.661.667","32.446.944"
"Deir al Muharib - al Dayr Albahri Luxor","25° 42' 59.99","32° 34' 59.99","257.166.667","325.833.333"
"Deir Mustafa Kashif Khraga oasis 1km N Bagawat cemetery","25° 29' 37.38","30° 33' 13.56","25.493.717","30.553.767"
"Deir Maqariyus - Bir Hooker North Cairo","30° 18' 1.99","30° 28' 40.00","303.005.556","304.777.778"
"El Miharraq Al Habalisah - Asyut","27° 22' 49.99","30° 46' 30.00","273.805.556","30.775"
"Apa Musa - Al Aswad - Wadi Habib - possibly connected to Baramus","30° 21' 48.008","30° 16' 38.00","30.363.336","30.277.222"
"Oktokaidekaton Alexandria on 18th milestone to al-Karyun","31° 01' 10.00","29° 48' 18.00","31.019.444","29.805"
"Amba Pisentius Naqada","25° 49' 53.74","32° 42' 06.77","25.834.386","327.001"
"El Qibli - Salamini Akhmim","26° 34' 59.99","31° 46' 59.99","265.833.333","317.833.333"
"Al Ris or Ras Bahariya Oasis Western Desert","28° 00' 03.09 ","28° 42' 13.04 ","28.000.858","28.703.622"
"Al Rizaiqal St George Armant","25° 33' 54.44 ","32° 26' 28.54 ","25.565.122","32.441.261"
"Al Salib Monastery of the Holy Cross - Pleintiyue- Hagar Danfiq","25° 50' 54.15 ","32° 42' 13.66 ","25.848.375","32.703.794"
"Deir al-Shuhada Monastery of the Martyrs E Akhmim","26° 35' 54.22","31° 47' 29.23","26.598.394","31.791.453"
"Deir Abu Saifain - St Mercurius Higaza","25° 51' 00.63","32° 50' 06.10","25.850.175","32.835.028"
"Deir Abu Saifain - St Mercurius Tammua 11kms South Giza","29° 56' 28.50","31° 15' 31.28","2.994.125","31.258.689"
"Abu Sarabam Dayrut al-Sharif W bank Asyut","27° 35' 21.07","30° 48' 25.12","27.589.186","30.806.978"
"Deir Seyfan (see 4)","29° 55' 59.99","31° 15' 00.00","299.333.333","31.25"
"Deir al Anba Shnudah - Fawgilai near Sohag","26° 32' 05","31° 38' 44.00","2.653.422","3.164.556"
"Buqtur shu St Victo at Shu Asyut","27° 14' 14.90 ","31° 08' 53.06 ","27.237.472","31.148.072"
"El Shuhada - Deir Manaws - 3600 martyrs","25° 15' 26.09","32° 32' 52.36","25.257.247","32.547.878"
"Deir Anba Shanudah - Naqada - Danfiq","25° 51' 0.00","32° 42' 00.00","25.85","32.7"
"Deir al-Sirian Monastery of the Syrians Wadi al Natrun","30° 19' 05.05","30° 21' 14.52","30.318.069","30.354.033"
"Deir al Amir Tadrus -Beni Shiqeir  Asyut","27° 22' 59.99","30° 58' 00.00","273.833.333","309.666.667"
"El Amba Tawadrus el Muharib - Luxor","25° 42' 59.99","32° 34' 59.99","257.166.667","325.833.333"
"El Adra Minya Gabal al Tayr St Mary monastery of the pulley","28° 16' 51.80","30° 44' 49.89","28.281.056","30.747.192"
"Holy Virgin's Monastery - Maadi","29° 56' 59.00","31° 15' 00.00","29.95","31.25"
"Holy Virgin's monastery - Deir de Ganadla -Asyut","26° 55' 38.34","31° 16' 59.21","269.277.778","312.819.444"
"El Wastani - Salamini - Akhmim","26° 36' 00.00","31° 46' 59.99","26.6","317.833.333"
"Anba Antonius St Anthony Cairo","29° 09' 05.37","31° 07' 42.45","29.151.492","31.128.458"
"Anba Antonius St Anthony al Qiddis Antun Eastern desert","28° 55' 27.9","32° 20' 59.81","28.924.417","32.349.947"
"St Boqtor - Higaza Qift - Qena","25° 51' 0.00","32° 49' 59.99","25.85","328.333.333"
"St. Catherine's Mount Sinai","28° 33' 13.99","33° 58' 24.00","285.538.889","339.733.333"
"St Cyriacus  Luxor - Jeme","25° 43' 57.00 ","32° 36' 32.00 ","257.325","32.608.889"
"St George Tura - Cairo","29° 55' 59.99","31° 16' 59.99","299.333.333","312.833.333"
"St George -Danfiq - Luxor","25° 50' 05.05","32° 42' 01.51","25.834.736","32.700.419"
